순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
1,뚱딴지 명언 산책,김우영 글.그림,재능출판,1997,,9.78898E+12,77810,199.1,"2,067",2000
2,"말할 수 있는 중국어, 들을 수 있는 중국어:생활회화",류기수 지음,백산서당,1997,,9.78897E+12,3720,727.5,"1,254",2000
3,여자는 모른다,이시형 지음,살림출판사,1999,,9.78895E+12,3810,181.71,"1,009",2000
4,행복한 사람은 시계를 보지 않는다:은희경 소설,은희경 지음,창작과 비평사,1999,,9.78894E+12,3810,813.6,900,2000
5,세상에서 가장 좋은 친구가 되어 줄게!,강여울 글;정수영 그림,아이앤북,2003,,9.78899E+12,73470,470,884,2000
6,(신경숙 장편소설)기차는 7시에 떠나네,신경숙 지음,문학과 지성사,1999,,9.78893E+12,3810,813.6,806,2000
7,윤효석 작품집,尹孝錫 著,梨花文化出版社,1997,,9.78898E+12,3570,648,784,2000
8,영어는 무조건 통암기가 최고다 2,임삼진,현재,2001,,9.78899E+12,,,738,2000
9,모순:양귀자 장편소설,양귀자 지음,살림출판사,1998,,9.78899E+12,3810,813.6,736,2000
10,(조창인 장편소설)가시고기,조창인 지음,밝은세상,2000,,9.78898E+12,3810,813.6,667,2000
11,존재는 눈물을 흘린다:공지영 소설,공지영 지음,창작과비평사,1999,,9.78894E+12,3810,813.6,663,2000
12,상실의 시대 ,무라카미 하루키 지음 ;유유정 옮김,문학사상사,1999,,9.78897E+12,3830,833.6,605,2000
13,영어공부 절대로 하지마라!,정찬용 지음,사회평론,1999,,9.78899E+12,3740,740,603,2000
14,오체 불만족,오토다케 히로타다 지음;전경빈 옮김,창해,1999,,9.78898E+12,3830,838,584,2000
15,내 안의 깊은 계단:강석경 장편소설,강석경 지음,창작과 비평사,1999,,9.78894E+12,3810,813.6,531,2000
16,마지막 춤은 나와 함께:은희경 장편소설,은희경 지음,문학동네,1998,,9.78898E+12,3810,813.6,530,2000
17,(신경숙 소설집)딸기밭,신경숙 지음,문학과 지성사,2000,,9.78893E+12,3810,813.6,528,2000
18,나는 희망의 증거가 되고 싶다:가발공장에서 하버드까지,서진규 지음,북하우스,1999,,9.78899E+12,3810,818,527,2000
19,철도원:아사다 지로 소설,아사다 지로 지음;양윤옥 옮김,문학동네,1999,,9.78898E+12,3830,833.6,522,2000
20,너무도 쓸쓸한 당신,박완서 지음,창작과 비평사,1998,,9.78894E+12,3810,813.6,516,2000
21,랭보시선 ,아르튀르 랭보 지음 ;이준오 옮김,책세상,1998,,9.78897E+12,3860,861,497,2000
22,공자가 죽어야 나라가 산다,김경일 지음,바다출판사,2000,,9.78899E+12,3810,309.111,488,2000
23,내 생에 꼭 하루뿐일 특별한 날:전경린 장편소설,지은이: 전경린,문학동네,1999,,9.78898E+12,3810,813.6,463,2000
24,그것은 꿈이었을까:은희경 장편소설,은희경 지음,현대문학,2000,,9.78897E+12,3810,813.6,452,2000
25,병은 무엇이며 약은 무엇인가?,연상원 著,다나,1997,,9.78897E+12,3300,519.1,449,2000
26,그림 읽어주는 여자,한젬마 지음,명진출판,1999,,9.78898E+12,3810,818,425,2000
27,영어 일기=Hi! my diary,봉현선 엮음;김효진 [공]그림,글동산,2005,,9.78898E+12,73740,746,423,2000
28,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2012,,9.78899E+12,77810,813.6,413,2000
29,풍경,원성 글.그림,이레,1999,,9.78899E+12,3810,811.6,407,2000
30,쎄느강은 좌우를 나누고 한강은 남북을 가른다 :문화비평 에세이 ,지은이: 홍세화,한겨레신문사,1999,,9.78898E+12,3810,814.62,406,2000
31,하지 말라는 것은 다 재미있다 ,전유성 지음,경당,1999,,9.78899E+12,3810,818,402,2000
32,"바람의 딸, 우리 땅에 서다",한비야 지음,푸른숲,1999,,9.78897E+12,3810,816.6,401,2000
33,(두 번만 읽으면 끝나는)영문법,배진용 지음,도솔,1997,,9.78897E+12,13740,745.8,393,2000
34,韓國의 住居民俗志,金光彦 著,民音社,1993,,9.78894E+12,94380,381.9,392,2000
34,봉순이 언니,공지영 지음,푸른숲,1998,,9.78897E+12,3810,813.6,392,2000
36,"아무도 모를거야, 내가 누군지",김향금 글;이혜리 그림,보림,1998,,9.78894E+12,77810,911,391,2000
37,빌 게이츠 @ 생각의 속도:디지털 신경망 비즈니스,빌 게이츠 지음;안진환 역,청림출판,1999,,9.78894E+12,3320,325.1,390,2000
38,비밀 91+α,김성종,명지사,1991,,9.78897E+12,,,388,2000
39,나는 튀고 싶지 않다,이금희 지음,샘터사,1999,,9.78895E+12,3810,818,385,2000
40,워드프로세서 2급 필기,장덕철,영진닷컴,1993,,9.78893E+12,,,378,2000
41,인터넷 쉽게 배우기=Easy guide for internet beginner,홍종남;홍종훈 [공]저,영진출판사,1999,,9.78893E+12,13000,4.575,368,2000
41,오두막 편지 ,지은이: 법정,이레,1999,,9.78899E+12,3810,814.62,368,2000
43,타인에게 말걸기:은희경 소설집,은희경 지음,문학동네,1996,,9.78898E+12,3810,813.6,366,2000
44,우리 아이 좋은 버릇 길러 주는 동화 ,글: 최재숙 ;홍성지,삼성출판사,2002,,9.78892E+12,73800,813.6,362,2000
44,항아리 ,지은이: 정호승,열림원,1999,,9.78897E+12,3810,813.8,362,2000
46,세상의 바보들에게 웃으면서 화내는 방법:움베르토 에코의 세상 비틀어 보기,움베르토 에코 저;이세욱 옮김,동광출판사,1999,,9.78893E+12,3860,884,361,2000
47,(공지영 장편소설)고등어,공지영 지음,웅진출판,1994,,9.7889E+12,33810,813.6,357,2000
48,우리 순이 어디 가니,글: 윤구병;그림: 이태수,보리,2006,,9.78898E+12,77810,813.6,354,2000
49,내가 누구인지 말하는 것이 왜 두려운가:양창순 에세이,양창순 지음,현대문학,1999,,9.78897E+12,3810,814.6,344,2000
49,솔직히 말해서 나는 돈이 좋다,오숙희 지음,여성신문사,1999,,9.78899E+12,3810,818,344,2000
51,엘리베이터에 낀 그 남자는 어떻게 되었나:김영하 소설,김영하 지음,문학과 지성사,1999,,9.78893E+12,3810,813.6,342,2000
51,나는 빠리의 택시운전사,홍세화 지음,창작과 비평사,1995,,9.78894E+12,3810,818,342,2000
51,눈물,하병무 지음,밝은세상,1999,,9.78899E+12,3810,813.6,342,2000
54,도라지꽃 누님:구효서 소설,구효서 지음,세계사,1999,,9.78893E+12,3810,813.6,337,2000
55,새의 선물:은희경 장편소설,은희경 저,문학동네,1999,,9.78899E+12,3810,813.6,335,2000
56,미국에서 살다 오셨나요,이보영 저,다락원,1999,,9.78897E+12,13740,740.7,333,2000
57,팥죽 할멈과 호랑이,서정오 글;박경진 그림,보리,1997,,9.78899E+12,77810,813.8,331,2000
58,(백지연의 선택)나는 나를 경영한다,백지연 지음,다우출판사,2000,,9.78899E+12,13810,818.6,330,2000
59,스푸트니크의 연인,村上春樹 지음;이정환 옮김,자유문학사,1999,,9.78894E+12,3830,833.6,327,2000
60,나에겐 분명 문제가 있다,데이비드 J. 리버만 지음;주미숙 옮김,창작시대사,2000,,9.78897E+12,3840,181.9,323,2000
61,종이 꽃,정길연 지음,이룸,1999,,9.78899E+12,3810,813.6,321,2000
62,강물이 될때까지:신경숙 소설집,신경숙 지음,문학동네,1998,,9.78898E+12,3810,813.6,320,2000
63,(대하예술소설)혼불,최명희 지음,한길사,1996,1,9.78894E+12,3810,813.6,318,2000
64,옆집 여자 :하성란 소설 ,지은이: 하성란,창작과비평사,2002,,9.78894E+12,3810,813.6,317,2000
65,홀림:성석제 소설집,성석제 지음,문학과지성사,1999,,9.78893E+12,3810,813.6,316,2000
66,아가 :희미한 옛사랑의 그림자 ,이문열,민음사,2000,,9.78894E+12,3810,813.6,313,2000
67,나는 1억으로 석달 만에 17억을 벌었다,이만수 지음,중앙M&B,1999,,9.78898E+12,13320,327.85,309,2000
68,PC진단.문제해결:무작정 따라하기,이순원 지음,길벗,1999,,9.78898E+12,3000,4,308,2000
69,한반도:김진명 장편소설,김진명 저.,해냄출판사,1999,2,9.78897E+12,4810,813.6,307,2000
69,홍어:김주영 장편소설,김주영 지음,문이당,1998,,9.78897E+12,3810,813.6,307,2000
71,플래시 4 웹 애니메이션 쉽게 배우기,이기철 저,영진출판사,1999,,9.78893E+12,13000,4.76,306,2000
72,외사랑,김정현 지음,삼진기획,1998,,9.78897E+12,3810,813.6,305,2000
72,밤은 낮보다 짧다 :정덕희 삶의 기술 ,정덕희 지음,중앙M＆B,1999,,9.78898E+12,3810,818,305,2000
74,(코카콜라)애인:윤대녕 장편소설,윤대녕 지음,세계사,1999,,9.78893E+12,3810,813.6,304,2000
74,연인,정호승 지음,열림원,1998,,9.78897E+12,3810,813.8,304,2000
76,재미있게 사는 사람이 성공한다:당당해 보이지만 불안한 신세대에게 전하는 자유 메시지,김지룡 지음,명진출판,1998,,9.78898E+12,3810,818,303,2000
77,도시로 간 꼬마 하마 ,글·그림: 이호백,재미마주,1999,,9.78899E+12,77810,813.6,302,2000
78,우리는 사소한 것에 목숨을 건다,리처드 칼슨 지음;정영문 옮김,창작시대,2000,,9.78897E+12,3840,186.5,300,2000
79,(세계의)옛날이야기 20편,이영오 글;최민호 외그림,예림당,1998,,9.78893E+12,77800,808,296,2000
80,이원복 교수의 진짜 유럽이야기,이원복 글.그림,두산동아,1998,,9.7889E+12,3810,982.02,295,2000
81,영어공부혁명,정철,해냄출판사,1998,,9.78897E+12,,,293,2000
82,우리 할아버지가 꼭 나만했을 때,보림 글;주경호그림,보림,1999,,9.78894E+12,77810,813.6,291,2000
82,"아빠, 꽃밭 만들러 가요",송언 글;한지희 그림,사계절출판사,1999,,9.78897E+12,77810,813.8,291,2000
84,컴퓨터 조립+수리 쉽게 배우기=Easy guide for computer beginner,김지현 저,영진출판사,1998,,9.78893E+12,13000,566.1,290,2000
85,눈화장만 하는 여자:김영희 에세이,김영희 지음,샘터,1998,,9.78895E+12,3810,818,287,2000
85,한권으로 읽는 조선왕조실록,박영규 지음,들녘,1998,,9.78898E+12,3900,911.05,287,2000
87,(김진명 장편소설)하늘이여 땅이여,김진명 지음.,해냄출판사,1998,1,9.78897E+12,3810,813.6,285,2000
88,간절히 @ 두려움 없이,전여옥 지음,푸른숲,1999,,9.78897E+12,3810,814.6,280,2000
88,손 큰 할머니의 만두 만들기 ,글: 채인선 ;그림: 이억배,재미마주,1998,,9.78899E+12,73810,813.6,280,2000
88,사랑의 무게:정길연 장편소설,정길연 지음,이룸,2000,,9.78899E+12,3810,813.6,280,2000
91,성공하는 사람들의 7가지 습관 ,스티븐 코비 지음 ;김원섭 옮김,김영사,1994,,9.78893E+12,3320,325.04,279,2000
91,(개인투자가를 위한) 주식@ 살 때와 팔 때 ,한국경제신문 증권부 지음,한국경제신문사,1999,,9.78895E+12,3320,327.856,279,2000
93,심심해서 그랬어,글: 윤구병;그림: 이태수,보리,2006,,9.78899E+12,77810,813.6,278,2000
94,(온가족이 함께 하는)강남길의 TV보다 쉬운 컴퓨터,강남길 저,영진출판사,1998,,9.78893E+12,13000,4.01,276,2000
95,모래꽃,엔도 슈사쿠 저;임종석 옮김,고려원,1995,,9.78891E+12,3830,833.6,274,2000
95,10까지 셀 줄 아는 아기염소,알프 프료이센 글;고향옥 옮김,한림출판사,1999,,9.78897E+12,77830,859.8,274,2000
97,선택:이문열 장편소설,李文烈 지음,민음사,1997,,9.78894E+12,3810,813.6,272,2000
97,한반도:김진명 장편소설,김진명 저,해냄출판사,1999,1,9.78897E+12,4810,813.6,272,2000
99,일본여자가 쓴 한국여자 비판,도다 이쿠코 대표집필,현대문학,2000,,9.78897E+12,3810,337.04,271,2000
100,열흘 운 년이 보름은 못 울어?,박원숙 지음,중앙M&B,1998,,9.78898E+12,3810,818,270,2000
101,순수:이순원 장편소설,이순원 지음,생각의 나무,2000,,9.78899E+12,3810,813.6,267,2000
102,(대하예술소설)혼불,최명희 지음,한길사,1996,2,9.78894E+12,3810,813.6,265,2000
103,집시의 칼,시드니 셀던 지음;정영선 옮김,영림카디널,1998,,9.78898E+12,3840,843,262,2000
104,신정원의 액션 잉글리쉬,신정원,학원사,1999,,9.78892E+12,,,261,2000
104,(신경숙 소설집)오래전 집을 떠날 때,신경숙 지음,창작과 비평사,1996,,9.78894E+12,3810,813.6,261,2000
106,(꼬불꼬불)한자 쉽게 끝내기,이래현 지음,키출판사,1997,,9.78897E+12,3710,711.4,260,2000
106,일식:히라노 게이치로 장편소설,히라노 게이치로 지음;양윤옥 옮김,문학동네,1999,,9.78898E+12,3830,833.6,260,2000
108,마요네즈:전혜성 장편소설,전혜성 지음,문학동네,1997,,9.78898E+12,3810,813.6,259,2000
109,하늘 호수로 떠난 여행,류시화 지음,열림원,1997,,9.78897E+12,3810,818,257,2000
109,영어에 성공한 사람 17인이 털어놓는 영어 학습법,김준호 지음,홍익미디어,1997,,9.78898E+12,3740,740.7,257,2000
111,토끼의 용궁 구경,한국몬테소리편집부 엮음;허수욱 그림,한국몬테소리,1992,,9.78897E+12,74810,813.8,256,2000
112,천년의 전설,엘리자베스 로웰 지음;이영욱 옮김,현대문화센타,1999,,9.78897E+12,3840,843,255,2000
112,(꼬마)비버와 메아리,에이미 맥도날드 글;이명희 옮김,마루벌,1996,,9.78899E+12,77840,843.8,255,2000
114,그 산이 정말 거기 있었을까:박완서 장편소설,박완서 지음,웅진출판,1996,,9.7889E+12,3810,813.6,253,2000
114,검은 사슴:한강 장편소설,한강 지음,문학동네,1998,,9.78898E+12,3810,813.6,253,2000
116,도깨비를 빨아 버린 우리 엄마,사토 와키코,한림출판사,1991,,9.78897E+12,77890,,252,2000
117,슬픈 사막의 노래,콘스탄스 오베니언 지음;김지혜 옮김,영언문화사,1999,,9.78897E+12,3840,843,250,2000
117,영원한 것은 없다,시드니 셀던 지음;오호근 옮김,영림카디널,1994,,9.78899E+12,3840,843,250,2000
119,(사랑스런)악처 서정희의 작은 반란,서정희 지음,중앙M&B,1998,,9.78898E+12,3810,818,249,2000
119,세상에서 제일 힘센 수탉 ,글쓴이: 이호백 ;그린이: 이억배,재미마주,1997,,9.78899E+12,77810,813.6,249,2000
121,우리 아이 호기심을 키워 주는 동화 ,엮음: [삼성출판사] 편집부 ;최숙희,삼성출판사,2002,,9.78892E+12,74810,813.7,248,2000
121,('99 올해의 추리소설)아웃사이더,한국추리작가협회 엮음,신원문화사,1999,,9.78894E+12,3810,813.6,248,2000
121,(잠언시집)지금 알고 있는 걸 그때도 알았더라면,류시화 엮음,열림원,1998,,9.78897E+12,3800,811.6,248,2000
124,어린이를 위한 세계명화 이야기,삼성출판사 [편],삼성출판사,1999,,9.78892E+12,73650,650.8,247,2000
124,30대에 하지 않으면 안될 50가지,나카타니 아키히로 지음;이선희 옮김,홍익출판사,1997,,9.78897E+12,3830,199.1,247,2000
124,부자 아빠 가난한 아빠:부자들이 들려주는 돈과 투자의 비밀,로버트 기요사키;형선호 옮김,황금가지,2000,,9.78898E+12,3320,327.83,247,2000
124,실미도:백동호 장편소설,백동호 지음.,밝은세상,1999,1,9.78899E+12,4810,813.6,247,2000
128,아버지:김정현 장편소설,김정현 지음,문이당,1996,,9.78897E+12,3810,813.6,246,2000
129,누구야 누구,심조원 글;권혁도 그림,보리,1998,,9.78899E+12,77810,813.8,245,2000
130,나는 솔직하게 살고 싶다,김지룡 지음,명진출판,1999,,9.78898E+12,3810,818,244,2000
130,엄마 배가 커졌어요,최유라 글;강상희 [공]그림,계림닷컴,2000,,9.78898E+12,77830,375.1,244,2000
132,인터넷 쉽게 배우기 - 할수있다!,정구정 (지은이),영진.com(영진닷컴),1998,,9.78893E+12,,,243,2000
132,바람 부는 날 - 1996 '황금도깨비상' 수상작,정순희,비룡소,1996,,9.78895E+12,,,243,2000
132,마음 가는 대로 해라,앤드류 매튜스 지음;노혜숙 옮김,생각의 나무,1998,,9.78899E+12,3810,199.1,243,2000
135,목욕은 즐거워,교코 마스오카 글;하야시아키코 그림,한림출판사,1996,,9.78897E+12,77830,833,242,2000
135,그의 향기를 느낄 때,리사 클레이파스 지음;나채성 옮김,큰나무,1997,,9.78898E+12,3840,843,242,2000
137,만행·하버드에서 화계사까지,지은이: 현각,열림원,1999,1,9.78897E+12,3810,224.8,240,2000
138,사랑:한승원 장편소설,한승원 지음,문이당,2000,,9.78897E+12,3810,813.6,238,2000
138,(맞아죽을 각오를 하고 쓴)한국·한국인 비판,이케하라 마모루 지음,중앙M&B,1999,,9.78898E+12,13080,309.11,238,2000
140,(대하예술소설)혼불,최명희 지음,한길사,1996,5,9.78894E+12,3810,813.6,236,2000
141,호랑이 잡은 피리,김달성 그림;강무홍 글,보림,1998,,9.78894E+12,74810,813.8,235,2000
142,짜장면,안도현 지음,열림원,2000,,9.78897E+12,3810,813.8,234,2000
142,20대에 하지 않으면 안될 50가지,나카타니 아키히로 지음;이선희 옮김,홍익출판사,1998,,9.78897E+12,3830,834,234,2000
142,람세스 1 - 빛의 아들,크리스티앙 자크,문학동네,1997,1,9.78898E+12,3860,,234,2000
142,칭찬받는 아이로 바꿔주는 책,호원희 글;박기욱 [공]그림,세상모든책,2000,,9.78899E+12,77370,813.6,234,2000
146,키친,요시모토 바나나 지음;김난주 옮김,민음사,2005,,9.78894E+12,3830,833.6,233,2000
146,이슬이의 첫 심부름,쓰쓰이 요리코,한림출판사,1991,,9.78897E+12,77890,,233,2000
148,"말할 수 있는 중국어, 들을 수 있는 중국어:생활회화",류기수 지음,백산서당,1997,1,9.78897E+12,3720,727.5,232,2000
148,(꼬불꼬불)영작문:한국인이 쉽게 끝내는 법,안영하 지음,키출판사,2000,,9.78897E+12,3740,746,232,2000
148,실미도:백동호 장편소설,백동호 지음.,밝은세상,1999,2,9.78899E+12,4810,813.6,232,2000
148,아기오리 열두 마리는 너무 많아!,글: 채인선;그림: 유승하,길벗어린이,2004,,9.78899E+12,77810,813.6,232,2000
152,은 나이프,세레일리어 지음;김균희 옮김,계몽사,1996,,9.78891E+12,74840,843.8,231,2000
153,대한국인:이원호 장편소설,이원호 지음,은행나무,1999,1,9.78899E+12,4810,813.6,230,2000
154,(날마다 하나씩)우스개 옛이야기,김태정;이영경 외 14명 그림,웅진출판,1998,,9.7889E+12,73810,813.8,229,2000
154,지상에 숟가락 하나 :현기영 장편소설 ,지은이: 현기영,실천문학,1999,,9.78894E+12,3810,813.62,229,2000
154,눈이 작은 아이들,김영희 지음,샘터,1999,,9.78895E+12,3810,818,229,2000
154,"행복, 그거 얼마예요?",최윤희 지음,여성신문사,1999,,9.78899E+12,3810,818,229,2000
158,(조경란 소설집)나의 자줏빛 소파,조경란 지음,문학과지성사,2000,,9.78893E+12,3810,813.6,228,2000
158,"TOEIC, 답이 보인다",김대균 지음,김영사,1999,,9.78893E+12,3740,747,228,2000
158,문화로 배우는 이야기 日本語,김용운 지음,디자인하우스,1999,,9.78897E+12,3730,737,228,2000
161,(김진명 장편소설)하늘이여 땅이여,김진명 지음.,해냄출판사,1998,2,9.78897E+12,3810,813.6,227,2000
161,책을 먹는 도깨비 깨보,김승태 글;한효정 그림,예영커뮤니케이션,1999,,9.78898E+12,77230,813.6,227,2000
161,준비된 말이 성공을 부른다,이정숙 지음,가야미디어,1998,,9.78899E+12,3040,814.6,227,2000
164,깊은 산속 옹달샘 누가 와서 먹나요,윤석중 동시;김승민 그림,예림당,1999,,9.78893E+12,73810,811.8,226,2000
164,"결혼은, 미친 짓이다:이만교 장편소설",이만교 지음,민음사,2000,,9.78894E+12,3810,813.6,226,2000
166,코뿔소는 정말 못 말려!,신정민 글;백은희 그림,문공사,1999,,9.78895E+12,77800,813.6,225,2000
166,(신세대)앵커 만들기,황현정 지음,문예당,1999,,9.78899E+12,3810,818,225,2000
168,학교에 간 개돌이:김옥 동화집,김옥 지음;권문희 그림,창작과비평사,1999,,9.78894E+12,73810,813.6,224,2000
168,우리 선생님이 최고야!,케빈 헹크스 글.그림;이경혜 옮김,비룡소,1999,,9.78895E+12,77840,843,224,2000
170,만행·하버드에서 화계사까지,지은이: 현각,열림원,1999,2,9.78897E+12,3810,224.8,223,2000
171,예방 주사 무섭지 않아!,한림출판사 편,한림출판사,1996,,9.78897E+12,77830,833.8,222,2000
171,침묵의 집:박범신 장편소설,박범신 지음.,문학동네,1999,2,9.78898E+12,4810,813.6,222,2000
173,할 수 있다! 한글 엑셀 97:Windows용,"CoreDump Co., Ltd.;정연금 편[역]",영진출판사,1997,,9.78893E+12,13560,5.3,221,2000
173,(박노해의 희망 찾기)오늘은 다르게,박노해 저,해냄출판사,1999,,9.78897E+12,3810,818,221,2000
173,(세계제일)홈페이지 만들기,박지홍;김영식 [공]지음,베스트북,1998,,9.78898E+12,13000,4.575,221,2000
176,그래도 나는 가볍게 살고 싶다,이주향 지음,청년사,1998,,9.78897E+12,3810,814.6,220,2000
176,미국 20대가 가장 많이 쓰는 영어 box ,지은이: 백선엽,넥서스,1999,,9.78898E+12,93740,747.5,220,2000
176,엄마 오늘 이야기는 뭐야,신현신,한국어린이교육연구원,1998,,9.78898E+12,,,220,2000
179,김약국의 딸들박경리 장편소설 ,박경리,나남출판,1997,,9.78893E+12,3810,813.6,219,2000
179,광수생각= Kwangsoo's thoughts ,[박광수 저],소담출판사,1998,,9.78897E+12,73810,657.1,219,2000
181,참을 수 없는 존재의 가벼움,밀란 쿤데라 지음;이재룡 옮김,민음사,1999,,9.78894E+12,3890,892.963,218,2000
181,많은 별들이 한곳으로 흘러갔다:윤대녕 소설,윤대녕 지음,생각의 나무,1999,,9.78899E+12,3810,813.6,218,2000
183,4백년의 약속,한수산 저,나남출판,1999,,9.78893E+12,4810,813.6,217,2000
183,(안녕하세요)인터넷 길라잡이,한석현 지음,정보문화사,1998,,9.78898E+12,98000,4.575,217,2000
183,자전거를 타는 여자:김미진 장편소설,김미진 지음,중앙M&B,2000,,9.78898E+12,3810,813.6,217,2000
183,모리와 함께한 화요일 ,미치 앨봄 지음 ;공경희 옮김,세종서적,2001,,9.78899E+12,3840,844,217,2000
183,바닷가 마지막 집:전경린 소설,전경린 지음,생각의 나무,1998,,9.78899E+12,3810,813.6,217,2000
183,(안철수와)한글 윈도우 98,안철수 지음,정보시대,1998,,9.78899E+12,3000,5.43,217,2000
189,주식 초보자가 가장 알고 싶은 101가지 이야기,권정태 지음,국일증권경제연구소,1999,,9.78897E+12,13320,327.85,216,2000
190,김수미의 전라도 음식이야기 ,김수미 [지음],중앙 M&B,1998,,9.78898E+12,23590,594.5199,215,2000
190,러브레터,이와이 순지 지음;권남희 옮김,집사재,1998,,9.78899E+12,3830,833.6,215,2000
190,포연 속에 핀 장미,금숙희 지음,한림미디어,1996,,9.78899E+12,3810,818,215,2000
193,풀하우스,유미리 지음;곽해선 옮김,고려원,1997,,9.78891E+12,3830,833.6,214,2000
193,엘러리 퀸의 모험,엘러리 퀸 지음;한국추리작가협회 엮음,고려원미디어,1994,,9.78891E+12,74840,843,214,2000
193,(신경숙 소설집)풍금이 있던 자리,신경숙 지음,文學과 知性社,1993,,9.78893E+12,3810,813.6,214,2000
193,맘 좋은 년은 시애비가 열 둘?,박원숙 지음,중앙M&B,1999,,9.78898E+12,3810,818,214,2000
197,플래시 4:애니메이션 홈페이지 만들기,장일호 저,영진.com,2000,,9.78893E+12,13000,4.76,213,2000
197,다섯가지 동화,편집부 (엮은이),풀과바람(영교출판),2001,,9.78898E+12,,,213,2000
197,견딜 수 없는 미쳐 버리고 싶은,밀란 쿤데라 외지음;장석영 옮김,현실과 미래,1999,,9.78899E+12,3890,892.963,213,2000
200,은지와 푹신이,하야시 아키코 글.그림,한림출판사,1994,,9.78897E+12,77830,833.8,212,2000
1,뚱딴지 명언 산책,김우영 글.그림,재능출판,1997,,9.78898E+12,77810,199.1,"2,658",2001
2,달팽이과학동화,,보리,2000,,9.78898E+12,77400,400,"1,558",2001
3,(조창인 장편소설)가시고기,조창인 지음,밝은세상,2000,,9.78898E+12,3810,813.6,"1,319",2001
4,연금술:현자의 돌,Andrea Aromatico 지음;성기완 옮김,시공사,1998,,9.78897E+12,3430,409,"1,186",2001
5,"말할 수 있는 중국어, 들을 수 있는 중국어:생활회화",류기수 지음,백산서당,1997,,9.78897E+12,3720,727.5,984,2001
6,미스코리아 대회를 폭파하라,김신명숙 지음,이프,1999,,9.789E+12,3810,813.6,977,2001
7,(신경숙 소설집)딸기밭,신경숙 지음,문학과 지성사,2000,,9.78893E+12,3810,813.6,907,2001
8,행복한 사람은 시계를 보지 않는다:은희경 소설,은희경 지음,창작과 비평사,1999,,9.78894E+12,3810,813.6,904,2001
9,아주 오래된 농담,박완서,실천문학사,2000,,9.78894E+12,,,878,2001
10,商道,최인호 지음,여백미디어,2001,1,9.78899E+12,4810,813.6,873,2001
11,그녀의 여자:서영은 장편소설,서영은 지음,문학사상사,2000,,9.78897E+12,3810,813.6,790,2001
11,여자는 두번 울지 않는다,시드니 셀던 지음;정성호 옮김,북@북스,2000,,9.78899E+12,3840,843,790,2001
13,부자 아빠 가난한 아빠:부자들이 들려주는 돈과 투자의 비밀,로버트 기요사키;형선호 옮김,황금가지,2000,,9.78898E+12,3320,327.83,789,2001
14,(신경숙 장편소설)기차는 7시에 떠나네,신경숙 지음,문학과 지성사,1999,,9.78893E+12,3810,813.6,785,2001
15,영어공부 절대로 하지마라!,정찬용 지음,사회평론,1999,,9.78899E+12,3740,740,769,2001
16,영어는 무조건 통암기가 최고다 2,임삼진,현재,2001,,9.78899E+12,,,742,2001
17,모순:양귀자 장편소설,양귀자 지음,살림출판사,1998,,9.78899E+12,3810,813.6,717,2001
18,상실의 시대 ,무라카미 하루키 지음 ;유유정 옮김,문학사상사,1999,,9.78897E+12,3830,833.6,711,2001
19,商道,최인호 지음,여백미디어,2001,5,9.78899E+12,4810,813.6,692,2001
20,내 몸은 너무 오래 서 있거나 걸어왔다:이문구 소설집,이문구 지음,문학동네,2000,,9.78898E+12,3810,813.6,686,2001
21,누가 내 치즈를 옮겼을까?,저자: 스펜서 존슨;번역: 이영진,진명출판사,2006,,9.78898E+12,3840,181.93,677,2001
22,商道,최인호 지음,여백미디어,2001,4,9.78899E+12,4810,813.6,671,2001
23,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2012,,9.78899E+12,77810,813.6,659,2001
24,향기로운 우물 이야기,박범신 지음,창작과비평사,2000,,9.78894E+12,3810,813.6,641,2001
25,삿뽀로 여인숙,하성란,이룸,2000,,9.78899E+12,,,634,2001
26,"결혼은, 미친 짓이다:이만교 장편소설",이만교 지음,민음사,2000,,9.78894E+12,3810,813.6,632,2001
27,그림 읽어주는 여자,한젬마 지음,명진출판,1999,,9.78898E+12,3810,818,613,2001
28,商道,최인호 지음,여백미디어,2001,3,9.78899E+12,4810,813.6,590,2001
29,세상에서 가장 좋은 친구가 되어 줄게!,강여울 글;정수영 그림,아이앤북,2003,,9.78899E+12,73470,470,587,2001
30,(까치와 소담이의) 수수께끼 놀이,김성은 글;김종도 그림,사계절출판사,2006,,9.78897E+12,77810,813.6,586,2001
30,오체 불만족,오토다케 히로타다 지음;전경빈 옮김,창해,1999,,9.78898E+12,3830,838,586,2001
32,마지막 춤은 나와 함께:은희경 장편소설,은희경 지음,문학동네,1998,,9.78898E+12,3810,813.6,583,2001
33,순수:이순원 장편소설,이순원 지음,생각의 나무,2000,,9.78899E+12,3810,813.6,573,2001
34,너무도 쓸쓸한 당신,박완서 지음,창작과 비평사,1998,,9.78894E+12,3810,813.6,569,2001
35,마이너 리그:은희경 장편소설,은희경 지음,창작과비평사,2001,,9.78894E+12,3810,813.6,567,2001
36,商道,최인호 지음,여백미디어,2001,2,9.78899E+12,4810,813.6,541,2001
37,그러니까 당신도 살아,오히라 미쓰요 지음;양윤옥 옮김,북하우스,2000,,9.78899E+12,3830,838,537,2001
